Postcode,Suburb,Region
2138,Rhodes,Western Sydney & Blue Mountains
2139,Concord Repatriation Hospital,Western Sydney & Blue Mountains
2140,Homebush,Western Sydney & Blue Mountains
2140,Homebush South,Western Sydney & Blue Mountains
2140,Homebush West,Western Sydney & Blue Mountains
2141,Berala,Southern & South Western Sydney
2141,Lidcombe,Southern & South Western Sydney
2141,Lidcombe North,Southern & South Western Sydney
2141,Rookwood,Southern & South Western Sydney
2142,Blaxcell,Western Sydney & Blue Mountains
2142,Camellia,Western Sydney & Blue Mountains
2142,Clyde,Western Sydney & Blue Mountains
2142,Granville,Western Sydney & Blue Mountains
2142,Holroyd,Western Sydney & Blue Mountains
2142,Rosehill,Western Sydney & Blue Mountains
2142,South Granville,Western Sydney & Blue Mountains
2143,Birrong,Southern & South Western Sydney
2143,Potts Hill,Southern & South Western Sydney
2143,Regents Park,Southern & South Western Sydney
2144,Auburn,Western Sydney & Blue Mountains
2145,Constitution Hill,Western Sydney & Blue Mountains
2145,Girraween,Western Sydney & Blue Mountains
2145,Greystanes,Western Sydney & Blue Mountains
2145,Mays Hill,Western Sydney & Blue Mountains
2145,Pemulwuy,Western Sydney & Blue Mountains
2145,Pendle Hill,Western Sydney & Blue Mountains
2145,South Wentworthville,Western Sydney & Blue Mountains
2145,Wentworthville,Western Sydney & Blue Mountains
2145,Westmead,Western Sydney & Blue Mountains
2146,Old Toongabbie,Western Sydney & Blue Mountains
2146,Toongabbie,Western Sydney & Blue Mountains
2146,Toongabbie East,Western Sydney & Blue Mountains
2147,Kings Langley,Western Sydney & Blue Mountains
2147,Lalor Park,Western Sydney & Blue Mountains
2147,Seven Hills,Western Sydney & Blue Mountains
2147,Seven Hills West,Western Sydney & Blue Mountains
2148,Arndell Park,Western Sydney & Blue Mountains
2148,Blacktown,Western Sydney & Blue Mountains
2148,Blacktown Westpoint,Western Sydney & Blue Mountains
2148,Huntingwood,Western Sydney & Blue Mountains
2148,Kings Park,Western Sydney & Blue Mountains
2148,Marayong,Western Sydney & Blue Mountains
2148,Prospect,Western Sydney & Blue Mountains
2150,Harris Park,Western Sydney & Blue Mountains
2150,Parramatta,Western Sydney & Blue Mountains
2150,Parramatta Westfield,Western Sydney & Blue Mountains
2151,North Parramatta,Western Sydney & Blue Mountains
2151,North Rocks,Western Sydney & Blue Mountains
2152,Northmead,Western Sydney & Blue Mountains
2153,Baulkham Hills,Western Sydney & Blue Mountains
2153,Bella Vista,Western Sydney & Blue Mountains
2153,Winston Hills,Western Sydney & Blue Mountains
2154,Castle Hill,Western Sydney & Blue Mountains
2155,Beaumont Hills,Western Sydney & Blue Mountains
2155,Kellyville,Western Sydney & Blue Mountains
2155,Kellyville Ridge,Western Sydney & Blue Mountains
2155,Rouse Hill,Western Sydney & Blue Mountains
2156,Annangrove,Western Sydney & Blue Mountains
2156,Glenhaven,Western Sydney & Blue Mountains
2156,Kenthurst,Western Sydney & Blue Mountains
2157,Canoelands,Western Sydney & Blue Mountains
2157,Forest Glen,Western Sydney & Blue Mountains
2157,Glenorie,Western Sydney & Blue Mountains
2158,Dural,Western Sydney & Blue Mountains
2158,Middle Dural,Western Sydney & Blue Mountains
2158,Round Corner,Western Sydney & Blue Mountains
2159,Arcadia,Central & Northern Sydney
2159,Berrilee,Central & Northern Sydney
2159,Fiddletown,Central & Northern Sydney
2159,Galston,Central & Northern Sydney
2160,Merrylands,Western Sydney & Blue Mountains
2160,Merrylands West,Western Sydney & Blue Mountains
2161,Guildford,Southern & South Western Sydney
2161,Guildford West,Southern & South Western Sydney
2161,Old Guildford,Southern & South Western Sydney
2161,Yennora,Southern & South Western Sydney
2162,Chester Hill,Southern & South Western Sydney
2162,Sefton,Southern & South Western Sydney
2163,Carramar,Southern & South Western Sydney
2163,Lansdowne,Southern & South Western Sydney
2163,Villawood,Southern & South Western Sydney
2164,Smithfield,Southern & South Western Sydney
2164,Smithfield West,Southern & South Western Sydney
2164,Wetherill Park,Southern & South Western Sydney
2164,Woodpark,Southern & South Western Sydney
2165,Fairfield,Southern & South Western Sydney
2165,Fairfield East,Southern & South Western Sydney
2165,Fairfield Heights,Southern & South Western Sydney
2165,Fairfield West,Southern & South Western Sydney
2166,Cabramatta,Southern & South Western Sydney
2166,Cabramatta West,Southern & South Western Sydney
2166,Canley Heights,Southern & South Western Sydney
2166,Canley Vale,Southern & South Western Sydney
2166,Lansvale,Southern & South Western Sydney
2167,Glenfield,Southern & South Western Sydney
2168,Ashcroft,Southern & South Western Sydney
2168,Busby,Southern & South Western Sydney
2168,Cartwright,Southern & South Western Sydney
2168,Green Valley,Southern & South Western Sydney
2168,Heckenberg,Southern & South Western Sydney
2168,Hinchinbrook,Southern & South Western Sydney
2168,Miller,Southern & South Western Sydney
2168,Sadleir,Southern & South Western Sydney
2170,Casula,Southern & South Western Sydney
2170,Casula Mall,Southern & South Western Sydney
2170,Chipping Norton,Southern & South Western Sydney
2170,Hammondville,Southern & South Western Sydney
2170,Liverpool,Southern & South Western Sydney
2170,Liverpool South,Southern & South Western Sydney
2170,Liverpool Westfield,Southern & South Western Sydney
2170,Lurnea,Southern & South Western Sydney
2170,Moorebank,Southern & South Western Sydney
2170,Mount Pritchard,Southern & South Western Sydney
2170,Prestons,Southern & South Western Sydney
2170,Warwick Farm,Southern & South Western Sydney
2171,Cecil Hills,Southern & South Western Sydney
2171,Elizabeth Hills,Southern & South Western Sydney
2171,Horningsea Park,Southern & South Western Sydney
2171,Hoxton Park,Southern & South Western Sydney
2171,Len Waters Estate,Southern & South Western Sydney
